
message,label
My flight has been delayed. I will keep you updated.,0
The concert last night was amazing. Had a great time!,0
Please let me know if you have any questions about the marketing campaign.,0
Looking forward to our vacation next week!,0
Exclusive offer: lose 15kg in 1 month with our diet plan. Click the link in our bio.,1
Please send me the notes from the meeting.,0
I can’t wait to see you!,0
Win a brand new smartphone! Reply WIN to enter the lucky draw.,1
Limited time offer: Invest in our crypto scheme and double your money in a week!,1
You have been awarded an exclusive membership card. Confirm your details to activate.,1
I’ll be there in 6:00 PM.,0
Exclusive offer: lose 15kg in 1 month with our diet plan. Click the link in our bio.,1
Win a brand new luxury watch! Reply WIN to enter the lucky draw.,1
I’ll drop by your office at 9:00 AM.,0
Let’s meet for dinner at 2:00 PM tonight.,0
My flight has been delayed. I will keep you updated.,0
Congratulations! You have won a smartwatch! Reply WIN to 71990 now!,1
"Happy birthday, Chris! Hope you have a wonderful day.",0
Congratulations! You have been selected to win a luxury vacation to Paris. Respond with YES to confirm.,1
I have sent you the files. Please check your email.,0
We found a package addressed to you. Click here to confirm your shipping details.,1
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
You have been selected to receive a free smartwatch. Respond now to claim.,1
"Want to make $10,000 per month from home? Send us a message!",1
Thanks for your assistance with the report.,0
Good luck on your math exam. You’ve got this!,0
Let’s meet for dinner at 2:00 PM tonight.,0
Please review the attached report and let me know your feedback.,0
We detected unusual activity on your account. Please update your security information immediately.,1
I’m so proud of you for getting the certification.,0
Please let me know if you have any questions about the software development project.,0
Congratulations! You have won a car! Send VERIFY to 18350 now!,1
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
Lose belly fat fast with our special diet plan. Click the link to get started!,1
Exclusive deal! Buy one get one free on our smartphone. Limited time offer.,1
Can you pick up some bread on your way home?,0
We have detected multiple login attempts to your account. Please reset your password using this link.,1
Congratulations! You have won a smartwatch. Click here to claim your reward.,1
URGENT! Your mobile number has been selected to win iPhone. Call 58515 now!,1
Exclusive deal! Buy one get one free on our smartphone. Limited time offer.,1
Limited time offer: Invest in our crypto scheme and double your money in a week!,1
Get the latest fashion accessories at 80% off! Shop now!,1
You have been selected to receive a free cruise trip. Respond now to claim.,1
You have been selected to receive a free shopping voucher. Respond now to claim.,1
Don’t forget to submit the presentation by end of day.,0
Please review the attached report and let me know your feedback.,0
Exclusive offer: lose 15kg in 1 month with our diet plan. Click the link in our bio.,1
I’ll be there in 8:00 AM.,0
I can’t wait to see you!,0
Get 0% interest on personal loans today! Apply now.,1
Thank you for your quick response.,0
I’ll be there in 3:00 PM.,0
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
I’ll be there in 2:00 PM.,0
Win a brand new smartphone! Reply WIN to enter the lucky draw.,1
Can you send me the budget plan by end of day?,0
You have been selected for a free vacation package! Reply YES to claim now.,1
Win a free gym membership! Follow our page and tag two friends to enter.,1
Thank you for your quick response.,0
You have been chosen to receive a free cruise trip. Click here to claim!,1
Can you pick up some eggs on your way home?,0
I’ll drop by your office at 1:00 PM.,0
Let’s meet for dinner at 6:00 PM tonight.,0
Want free samples? Follow us and share this post to claim.,1
Confirm your account information to avoid service interruption. Click here to verify.,1
Lunch was great yesterday! Let’s do it again sometime.,0
"Turn $100 into $10,000 overnight! DM for details!",1
Win a brand new tablet! Reply WIN to enter the lucky draw.,1
Please let me know if you have any questions about the research study.,0
Are you free this weekend? Let’s plan a trip.,0
I’ll be there in 9:00 AM.,0
I’ll drop by your office at 1:00 PM.,0
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
We have detected multiple login attempts to your account. Please reset your password using this link.,1
Win a brand new luxury watch! Reply WIN to enter the lucky draw.,1
Good luck on your midterm. You’ve got this!,0
We detected unusual activity on your account. Please update your security information immediately.,1
We detected unusual activity on your account. Please update your security information immediately.,1
Want free samples? Follow us and share this post to claim.,1
Let’s go for a walk this evening. The weather is nice.,0
Can you pick up some bread on your way home?,0
Win a brand new luxury watch! Reply WIN to enter the lucky draw.,1
My flight has been delayed. I will keep you updated.,0
I will be late to the office today. Stuck in traffic.,0
Congratulations on your award! We are proud of you.,0
Get the latest fashion accessories at 80% off! Shop now!,1
Great job on the report today!,0
Please confirm your attendance for the conference.,0
Can you pick up some eggs on your way home?,0
Congratulations! You have won a shopping voucher. Click here to claim your reward.,1
Join our giveaway for a chance to win a gift card worth $500! Like and share this post.,1
Get thousands of followers overnight! DM us for details.,1
Get rich quick! DM us for our secret trading tips.,1
Don’t forget to submit the project report by tomorrow.,0
You have been selected to receive a free laptop. Respond now to claim.,1
Get rich quick! DM us for our secret trading tips.,1
Please confirm your attendance for the team building event.,0
Congratulations! You have won a laptop. Click here to claim your reward.,1
You have been selected for a free iPhone! Reply YES to claim now.,1
"Happy birthday, Alex! Hope you have a wonderful day.",0
I finished reading the book you recommended. It was excellent!,0
Thank you for your quick response.,0
Did you watch the game last night? It was thrilling!,0
The meeting has been moved to 2:00 PM.,0
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
Please review the attached report and let me know your feedback.,0
Let’s go for a walk this evening. The weather is nice.,0
Transform your life with our miracle supplement. Click the link to learn more.,1
We detected unusual activity on your account. Please update your security information immediately.,1
Get 0% interest on personal loans today! Apply now.,1
"Happy birthday, Anna! Hope you have a wonderful day.",0
Congratulations on your new baby!,0
"Hey Sophia, are we meeting at 3:00 PM tomorrow?",0
Confirm your account information to avoid service interruption. Click here to verify.,1
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
Can you send me the proposal by tonight?,0
Can you send me the budget plan by tomorrow?,0
I’m so proud of you for getting the certification.,0
Transform your life with our miracle supplement. Click the link to learn more.,1
Get thousands of followers overnight! DM us for details.,1
Join our pyramid scheme and get rich quick! DM for details.,1
Free PlayStation for our first 100 followers! Claim yours now.,1
Can you send me the presentation by tonight?,0
Transform your life with our miracle supplement. Click the link to learn more.,1
I’ll be there in 9:00 AM.,0
Lunch was great yesterday! Let’s do it again sometime.,0
Looking forward to seeing you at the conference.,0
Join our pyramid scheme and get rich quick! DM for details.,1
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
Get unlimited access to premium content at 90% discount. Click here to subscribe.,1
"Hey Anna, are we meeting at 6:00 PM tomorrow?",0
I will be late to the office today. Stuck in traffic.,0
Get the latest fashion accessories at 80% off! Shop now!,1
Lose belly fat fast with our special diet plan. Click the link to get started!,1
"Want to make $10,000 per month from home? Send us a message!",1
Thanks for your assistance with the assignment.,0
I’ll drop by your office at 7:00 PM.,0
You have been chosen to receive a free gift card worth $500. Click here to claim!,1
"Turn $100 into $10,000 overnight! DM for details!",1
We have detected multiple login attempts to your account. Please reset your password using this link.,1
You have been selected for a free smartwatch! Reply YES to claim now.,1
Want free samples? Follow us and share this post to claim.,1
Let’s schedule a call to discuss the details of the research study.,0
Confirm your account information to avoid service interruption. Click here to verify.,1
Confirm your account information to avoid service interruption. Click here to verify.,1
I finished reading the book you recommended. It was excellent!,0
Thanks for your assistance with the task.,0
Congratulations on your graduation! We are proud of you.,0
Please confirm your attendance for the birthday party.,0
Can you pick up some eggs on your way home?,0
Low interest rates available for a limited time! Apply for a loan today.,1
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
Congratulations! You have been selected to win a luxury vacation to Tokyo. Respond with YES to confirm.,1
I finished reading the book you recommended. It was excellent!,0
Please review the attached proposal and let me know your feedback.,0
See you at the party this evening!,0
Join our giveaway for a chance to win a gift card worth $500! Like and share this post.,1
Don’t forget to submit the homework by tonight.,0
"Hey Sophia, are we meeting at 8:00 AM tomorrow?",0
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
Let’s go for a walk this afternoon. The weather is nice.,0
Congratulations! You have won a gift card worth $500. Click here to claim your reward.,1
I’ll be there in 6:00 PM.,0
Let’s schedule a call to discuss the details of the rebranding effort.,0
You have been selected to receive a free shopping voucher. Respond now to claim.,1
"Want to make $10,000 per month from home? Send us a message!",1
Transform your life with our miracle supplement. Click the link to learn more.,1
Lose belly fat fast with our special diet plan. Click the link to get started!,1
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
Looking forward to seeing you at the wedding.,0
Join our giveaway for a chance to win a iPhone! Like and share this post.,1
Congratulations on your award! We are proud of you.,0
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
Please send me the notes from the meeting.,0
Please send me the notes from the meeting.,0
Don’t forget to water the plants today.,0
Thank you for your quick response.,0
Please confirm your attendance for the conference.,0
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
"Hey Alex, are we meeting at 6:00 PM tomorrow?",0
I can’t wait to see you!,0
Please let me know if you need any help with the new product launch.,0
Great job on the task today!,0
You have been chosen to receive a free PlayStation. Click here to claim!,1
"Win free AirPods! Just follow and DM us ""WIN"" to claim your prize!",1
Limited time offer: Invest in our crypto scheme and double your money in a week!,1
Let’s meet for dinner at 8:00 AM tonight.,0
I have sent you the files. Please check your email.,0
"Happy birthday, Sophia! Hope you have a wonderful day.",0
Let’s schedule a call to discuss the details of the software development project.,0
We have detected multiple login attempts to your account. Please reset your password using this link.,1
Win a free gift card worth $500! Follow our page and tag two friends to enter.,1
Congratulations! You have won a PlayStation. Click here to claim your reward.,1
Don’t forget to submit the research paper by tomorrow.,0
"Hey Lisa, are we meeting at 9:00 AM tomorrow?",0
Low interest rates available for a limited time! Apply for a loan today.,1
Thank you for your quick response.,0
Get rich quick! DM us for our secret trading tips.,1
Exclusive offer: lose 15kg in 1 month with our diet plan. Click the link in our bio.,1
Low interest rates available for a limited time! Apply for a loan today.,1
Get the latest fashion accessories at 80% off! Shop now!,1
Win a free smartwatch! Follow our page and tag two friends to enter.,1
Win a brand new luxury watch! Reply WIN to enter the lucky draw.,1
Win a brand new smartphone! Reply WIN to enter the lucky draw.,1
Earn $500 daily working from home. Sign up now and start earning immediately.,1
"Want to make $10,000 per month from home? Send us a message!",1
Get unlimited access to premium content at 90% discount. Click here to subscribe.,1
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
Exclusive deal! Buy one get one free on our luxury watch. Limited time offer.,1
Earn $500 daily working from home. Sign up now and start earning immediately.,1
You have been awarded an exclusive membership card. Confirm your details to activate.,1
Win a free laptop! Follow our page and tag two friends to enter.,1
We should catch up over coffee sometime soon.,0
Are you free this weekend? Let’s plan a trip.,0
Exclusive deal! Buy one get one free on our luxury watch. Limited time offer.,1
Let’s meet for dinner at 7:00 PM tonight.,0
Congratulations on your graduation! We are proud of you.,0
Please confirm your attendance for the webinar.,0
I will call you later this evening.,0
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
Get rich quick! DM us for our secret trading tips.,1
I can’t wait to see you!,0
I have sent you the files. Please check your email.,0
We have detected multiple login attempts to your account. Please reset your password using this link.,1
Exclusive offer: lose 15kg in 1 month with our diet plan. Click the link in our bio.,1
Get thousands of followers overnight! DM us for details.,1
Don’t forget to submit the presentation by by Friday.,0
Get rich quick! DM us for our secret trading tips.,1
We should catch up over coffee sometime soon.,0
Get rich quick! DM us for our secret trading tips.,1
The concert last night was amazing. Had a great time!,0
I will be late to the office today. Stuck in traffic.,0
Congratulations on your new baby!,0
Can you send me the budget plan by next Monday?,0
Get unlimited access to premium content at 90% discount. Click here to subscribe.,1
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
I will call you later this afternoon.,0
We found a package addressed to you. Click here to confirm your shipping details.,1
I finished reading the book you recommended. It was excellent!,0
Get rich quick! DM us for our secret trading tips.,1
"Win free AirPods! Just follow and DM us ""WIN"" to claim your prize!",1
"Hey John, are we meeting at 6:00 PM tomorrow?",0
Low interest rates available for a limited time! Apply for a loan today.,1
Did you watch the game last night? It was thrilling!,0
Limited time offer: Invest in our crypto scheme and double your money in a week!,1
The meeting has been moved to 8:00 AM.,0
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
"Want to make $10,000 per month from home? Send us a message!",1
Don’t forget about our meeting on next Tuesday.,0
Exclusive offer: lose 15kg in 1 month with our diet plan. Click the link in our bio.,1
You have been selected to receive a free vacation package. Respond now to claim.,1
We have detected multiple login attempts to your account. Please reset your password using this link.,1
Can you pick up some bread on your way home?,0
I’ll drop by your office at 1:00 PM.,0
Great job on the assignment today!,0
The concert last night was amazing. Had a great time!,0
Congratulations! You have won a gift card worth $500! Reply ACCEPT to 85740 now!,1
My flight has been delayed. I will keep you updated.,0
Congratulations on your new baby!,0
Don’t forget about our meeting on Friday.,0
You have been selected for a free laptop! Reply YES to claim now.,1
See you at the party this afternoon!,0
"Want to make $10,000 per month from home? Send us a message!",1
I’m so proud of you for getting the certification.,0
Please let me know if you have any questions about the software development project.,0
See you at the party this afternoon!,0
Please confirm your attendance for the wedding.,0
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
I’ll be there in 3:00 PM.,0
Can you pick up some eggs on your way home?,0
"Hey Lisa, are we meeting at 7:00 PM tomorrow?",0
The meeting has been moved to 11:00 AM.,0
See you at the party this afternoon!,0
My flight has been delayed. I will keep you updated.,0
I’m so proud of you for getting the graduation.,0
Congratulations on your award! We are proud of you.,0
Great job on the presentation today!,0
I have sent you the files. Please check your email.,0
Win a free vacation package! Follow our page and tag two friends to enter.,1
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
Looking forward to seeing you at the birthday party.,0
I’ll be there in 5:30 PM.,0
Get 0% interest on personal loans today! Apply now.,1
URGENT! Your mobile number has been selected to win PlayStation. Call 63793 now!,1
Congratulations on your new baby!,0
Get unlimited access to premium content at 90% discount. Click here to subscribe.,1
You have been selected to receive a free shopping voucher. Respond now to claim.,1
I finished reading the book you recommended. It was excellent!,0
Free vacation package for our first 100 followers! Claim yours now.,1
Get 0% interest on personal loans today! Apply now.,1
Confirm your account information to avoid service interruption. Click here to verify.,1
URGENT! Your mobile number has been selected to win cruise trip. Call 37371 now!,1
We found a package addressed to you. Click here to confirm your shipping details.,1
I’ll drop by your office at 9:00 AM.,0
Thank you for your quick response.,0
My flight has been delayed. I will keep you updated.,0
Your tax refund is pending. Submit your information here to receive it.,1
Please let me know if you have any questions about the software development project.,0
I’ll be there in 2:00 PM.,0
I’m so proud of you for getting the certification.,0
"Happy birthday, Michael! Hope you have a wonderful day.",0
Buy one get one free on all items! Use coupon code SAVE50 at checkout.,1
Great job on the report today!,0
"Hey Alex, are we meeting at 5:30 PM tomorrow?",0
Exclusive deal! Buy one get one free on our tablet. Limited time offer.,1
You have been selected for a free laptop! Reply YES to claim now.,1
I’ll drop by your office at 5:30 PM.,0
We have detected multiple login attempts to your account. Please reset your password using this link.,1
Please send me the notes from the meeting.,0
Please let me know if you need any help with the rebranding effort.,0
My flight has been delayed. I will keep you updated.,0
The concert last night was amazing. Had a great time!,0
Don’t forget to water the plants today.,0
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
Don’t forget to submit the homework by this afternoon.,0
Win a brand new luxury watch! Reply WIN to enter the lucky draw.,1
"Happy birthday, John! Hope you have a wonderful day.",0
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
Lose belly fat fast with our special diet plan. Click the link to get started!,1
Buy one get one free on all items! Use coupon code SAVE50 at checkout.,1
"Want to make $10,000 per month from home? Send us a message!",1
Exclusive deal! Buy one get one free on our luxury watch. Limited time offer.,1
Good luck on your math exam. You’ve got this!,0
You have been selected to receive a free smartwatch. Respond now to claim.,1
"Hey Michael, are we meeting at 3:00 PM tomorrow?",0
Lose belly fat fast with our special diet plan. Click the link to get started!,1
Buy one get one free on all items! Use coupon code SAVE50 at checkout.,1
"Win free AirPods! Just follow and DM us ""WIN"" to claim your prize!",1
The concert last night was amazing. Had a great time!,0
You have been selected for a free shopping voucher! Reply YES to claim now.,1
Low interest rates available for a limited time! Apply for a loan today.,1
Want free samples? Follow us and share this post to claim.,1
We have detected multiple login attempts to your account. Please reset your password using this link.,1
Your tax refund is pending. Submit your information here to receive it.,1
Don’t forget to submit the presentation by next Monday.,0
My flight has been delayed. I will keep you updated.,0
Congratulations on your graduation! We are proud of you.,0
Confirm your account information to avoid service interruption. Click here to verify.,1
Don’t forget to water the plants today.,0
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
Confirm your account information to avoid service interruption. Click here to verify.,1
The concert last night was amazing. Had a great time!,0
Lunch was great yesterday! Let’s do it again sometime.,0
"Win free AirPods! Just follow and DM us ""WIN"" to claim your prize!",1
Congratulations! You have been selected to win a luxury vacation to London. Respond with YES to confirm.,1
Congratulations! You have won a PlayStation! Text NOW to 22711 now!,1
Let’s schedule a call to discuss the details of the rebranding effort.,0
Win a free car! Follow our page and tag two friends to enter.,1
Exclusive deal! Buy one get one free on our luxury watch. Limited time offer.,1
You have been selected for a free laptop! Reply YES to claim now.,1
Buy one get one free on all items! Use coupon code SAVE50 at checkout.,1
Get thousands of followers overnight! DM us for details.,1
My flight has been delayed. I will keep you updated.,0
The concert last night was amazing. Had a great time!,0
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
Please let me know if you have any questions about the new product launch.,0
You have been chosen to receive a free gym membership. Click here to claim!,1
I will call you later this evening.,0
Thanks for your assistance with the presentation.,0
Please let me know if you need any help with the new product launch.,0
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
I will call you later this morning.,0
Just wanted to say thank you for your help earlier.,0
Get thousands of followers overnight! DM us for details.,1
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
Get the latest fashion accessories at 80% off! Shop now!,1
"Hey David, are we meeting at 3:00 PM tomorrow?",0
Don’t forget about our meeting on April 10th.,0
Win a free gym membership! Follow our page and tag two friends to enter.,1
Please let me know if you need any help with the research study.,0
I’m so proud of you for getting the promotion.,0
Looking forward to our vacation next month!,0
Low interest rates available for a limited time! Apply for a loan today.,1
Please send me the notes from the meeting.,0
Are you free this weekend? Let’s plan a trip.,0
Please let me know if you need any help with the marketing campaign.,0
Congratulations! You have won a iPhone! Send CLAIM to 57636 now!,1
Just wanted to say thank you for your help earlier.,0
Congratulations! You have been selected to win a luxury vacation to Bahamas. Respond with YES to confirm.,1
"Win free AirPods! Just follow and DM us ""WIN"" to claim your prize!",1
Congratulations! You have been selected to win a luxury vacation to Maldives. Respond with YES to confirm.,1
Don’t forget about our meeting on October 5th.,0
Confirm your account information to avoid service interruption. Click here to verify.,1
Limited time offer: Invest in our crypto scheme and double your money in a week!,1
Can you pick up some eggs on your way home?,0
Low interest rates available for a limited time! Apply for a loan today.,1
I’m so proud of you for getting the award.,0
Want free samples? Follow us and share this post to claim.,1
Lose belly fat fast with our special diet plan. Click the link to get started!,1
Looking forward to seeing you at the conference.,0
Don’t forget about our meeting on Friday.,0
Are you free this weekend? Let’s plan a trip.,0
I have sent you the files. Please check your email.,0
Please let me know if you have any questions about the new product launch.,0
Limited time offer: Invest in our crypto scheme and double your money in a week!,1
URGENT! Your mobile number has been selected to win PlayStation. Call 47308 now!,1
I finished reading the book you recommended. It was excellent!,0
Get thousands of followers overnight! DM us for details.,1
We should catch up over coffee sometime soon.,0
The concert last night was amazing. Had a great time!,0
Earn $500 daily working from home. Sign up now and start earning immediately.,1
Get 0% interest on personal loans today! Apply now.,1
Great job on the presentation today!,0
Great job on the analysis today!,0
Great job on the report today!,0
Don’t forget to water the plants today.,0
Join our giveaway for a chance to win a gym membership! Like and share this post.,1
I will be late to the office today. Stuck in traffic.,0
Congratulations on your promotion! We are proud of you.,0
Get the latest fashion accessories at 80% off! Shop now!,1
You have been chosen to receive a free cruise trip. Click here to claim!,1
Please let me know if you have any questions about the research study.,0
Exclusive deal! Buy one get one free on our luxury watch. Limited time offer.,1
Please let me know if you have any questions about the rebranding effort.,0
I will be late to the office today. Stuck in traffic.,0
"Hey David, are we meeting at 11:00 AM tomorrow?",0
Did you watch the game last night? It was thrilling!,0
We detected unusual activity on your account. Please update your security information immediately.,1
You have been pre-approved for a low interest credit card. Apply now to get your new card.,1
"Happy birthday, Sarah! Hope you have a wonderful day.",0
Low interest rates available for a limited time! Apply for a loan today.,1
I’ll drop by your office at 1:00 PM.,0
The meeting has been moved to 5:30 PM.,0
I will call you later this afternoon.,0
You have been chosen to receive a free vacation package. Click here to claim!,1
Congratulations on your graduation! We are proud of you.,0
Looking forward to our vacation next summer!,0
See you at the party this evening!,0
Looking forward to our vacation next week!,0
My flight has been delayed. I will keep you updated.,0
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
Win a brand new smartphone! Reply WIN to enter the lucky draw.,1
"Win free AirPods! Just follow and DM us ""WIN"" to claim your prize!",1
I have sent you the files. Please check your email.,0
Low interest rates available for a limited time! Apply for a loan today.,1
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
Don’t forget about our meeting on next week.,0
Congratulations! You have won a gift card worth $500! Send CLAIM to 89929 now!,1
Get unlimited access to premium content at 90% discount. Click here to subscribe.,1
Let’s go for a walk this evening. The weather is nice.,0
Want free samples? Follow us and share this post to claim.,1
Confirm your account information to avoid service interruption. Click here to verify.,1
We have detected multiple login attempts to your account. Please reset your password using this link.,1
Your mailbox has exceeded its storage quota. Click here to avoid losing emails.,1
You have been awarded an exclusive membership card. Confirm your details to activate.,1
Please review the attached presentation and let me know your feedback.,0
Your tax refund is pending. Submit your information here to receive it.,1
Your account has been temporarily suspended due to suspicious login attempts. Click here to verify your account.,1
Congratulations! You have won a vacation package. Click here to claim your reward.,1
Get free ringtones by subscribing to our premium service! Reply RINGTONE now!,1
You have been chosen to receive a free vacation package. Click here to claim!,1
Exclusive deal! Buy one get one free on our tablet. Limited time offer.,1
Looking forward to our vacation next week!,0
Congratulations! You have been selected to win a luxury vacation to Tokyo. Respond with YES to confirm.,1
Please review the attached budget plan and let me know your feedback.,0
I’ll be there in 9:00 AM.,0
Are you free this weekend? Let’s plan a trip.,0
I will be late to the office today. Stuck in traffic.,0
"Win free AirPods! Just follow and DM us ""WIN"" to claim your prize!",1
I’m so proud of you for getting the graduation.,0
Want free samples? Follow us and share this post to claim.,1
Join our giveaway for a chance to win a vacation package! Like and share this post.,1
Get unlimited access to premium content at 90% discount. Click here to subscribe.,1
Don’t forget about our meeting on October 5th.,0
Transform your life with our miracle supplement. Click the link to learn more.,1
Please send me the notes from the meeting.,0
Exclusive deal! Buy one get one free on our smartphone. Limited time offer.,1
Are you free this weekend? Let’s plan a trip.,0
You have been chosen to receive a free iPhone. Click here to claim!,1
You have been selected to receive a free car. Respond now to claim.,1
Let’s schedule a call to discuss the details of the new product launch.,0
Congratulations! You have won a car! Reply WIN to 85930 now!,1
Please review the attached budget plan and let me know your feedback.,0
Just wanted to say thank you for your help earlier.,0
I’ll be there in 7:00 PM.,0
Are you free this weekend? Let’s plan a trip.,0
"Hey Lisa, are we meeting at 11:00 AM tomorrow?",0
I’m so proud of you for getting the award.,0
Can you send me the report by tonight?,0
Just wanted to say thank you for your help earlier.,0
Congratulations! You have won a vacation package. Click here to claim your reward.,1
You have been chosen to receive a free PlayStation. Click here to claim!,1
I will be late to the office today. Stuck in traffic.,0
Don’t forget to submit the project report by tomorrow.,0
Can you pick up some groceries on your way home?,0
Join our pyramid scheme and get rich quick! DM for details.,1
Join our pyramid scheme and get rich quick! DM for details.,1
I will call you later this afternoon.,0
Lunch was great yesterday! Let’s do it again sometime.,0
Confirm your account information to avoid service interruption. Click here to verify.,1
